4,7.4,6.4,6.9
41,7.4,6.4,6.9
59,7.0577,7.7993,6.1743
86,3.3,3.5,3.5
137,6.2,5.7,7.2
138,7.4997,6.5934,7.1854
163,3.3,3.5,3.5
170,7.4,6.4,6.9
177,3.3,3.5,3.5
187,8.7,5.9,8.6
213,5.8695,5.9852,5.4033
238,6.2,5.7,7.2
247,6,6.7,3.5
255,2.5,2.5,1.8
259,7.8,7.25,7.875
270,9.6854,7.4011,9.2889
285,7.6583,9,9
292,,,
296,2.46,1.9195,1.1134
301,,,
311,3.1183,2.6251,3.7107
319,7.4,6.4,6.9
332,3.3,3.5,3.5
349,,,
358,6,6.7,3.5
368,5.0552,5.3509,3.4615
401,3.9896,4.1676,4.2381
439,5.5717,5.06,4.1541
442,0.0714,0.2143,6
448,3.0215,3.1207,2.2063
453,,,
462,7.4,6.4,6.9
467,2.57,2.3775,2.0139
509,6.1017,6.2021,5.4999
516,1.2,1.4,3
524,9.2752,6.1901,9.3871
543,5.9233,8.2173,3.0695
547,8.2556,6.4,6.9
556,1.2,1.4,3
558,3.6451,3.8443,3.9791
610,,,
633,1.2,1.4,3
639,,,
646,8.7,5.9,8.6
649,0.957,0.3618,2.6754
650,3.6389,2.5,1.8
658,7.4997,6.5934,7.1854
659,4.2875,4.1064,2.6109
670,9.8,5.9,8.6
677,,,
686,1.3741,1.056,4.5083
689,1.2,1.4,3
695,,,
772,2.9308,4.3268,1.3251
773,7.4261,7.5725,7.1901
791,1.2152,1.0617,3.205
794,6.7112,6.9659,5.997
796,1.2,1.4,3
808,6.2503,6.3498,6.9333
824,,,
837,5.6871,4.4549,6.25
865,,,
873,3.155,2.8774,1.4772
885,5.8695,5.9852,5.4033
890,7.4,6.4,6.9
897,8.7748,8.7668,9.0688
898,7.4,6.4,6.9
905,,,
912,7.4,6.4,6.9
940,2.6344,4.1367,3.121
947,,,
1017,6,6.7,3.5
1023,3.3,3.5,3.5
1053,6.1556,3.5,3.5
1055,,,
1057,,,
1058,6,6.7,3.5
1086,8.2,5.7,7.2
1092,,,
1094,8.2,6.4,6.9
1101,8.1721,7.5376,8.6774
1124,6,6.7,3.5
1126,8.7,5.9,8.6
1131,7.4,6.4,6.9
1136,8.2556,6.4,6.9
1146,7.4,6.4,6.9
1165,6,6.7,3.5
1175,6,6.7,3.5
1176,0,1.4,3
1180,7.2871,6.5615,7.8675
1189,,,
1193,8.0252,4.8094,7.7747
1205,1.2,1.4,3
1210,8.3,6.4,6.9
1235,7.4,6.4,6.9
1250,8.7,5.9,8.6
1255,8.6608,8.7668,9.0688
1259,1.9018,2.2467,2.0327
1263,8.2786,8.5714,9.7143
1272,7.8429,8.0938,7.8507
1276,1.2,1.4,3
1284,3.5871,3.0627,3.9623
1297,7.5636,6.4495,7.2219
1307,,,
1327,8.2556,6.7,3.5
1328,,,
1363,,,
1382,8.2675,5.6522,8.032
1392,7.8,6.4,6.9
1414,7.5636,6.4495,7.2219
1420,8.7,5.9,8.6
1491,5.7216,5.9852,5.4033
1492,4.0813,4.1676,4.2381
1496,7.8,6.4,6.9
1506,9.7256,5.8616,9.6118
1507,8.7,5.9,8.6
1537,9.8246,4.2105,9.4219
1539,3.2493,3.248,2.9367
1540,1.148,4.072,4.032
1547,4.6,3.5,3.5
1556,4.3562,4.5741,4.2779
1566,,,
1599,,,
1701,7.4,6.4,6.9
1718,1.2,1.4,3
1720,8.7,5.9,8.6
1722,7.4,6.4,6.9
1723,1.2,1.4,3
1724,3.3,3.5,3.5
1726,7.4,6.4,6.9
1727,6.2503,6.3498,6.9333
1733,6,6.7,3.5
1734,7.4,6.4,6.9
1736,1.2,1.4,3
1737,1.2,1.4,3
1738,3.3,3.5,3.5
1755,7.4,6.4,6.9
1812,,,
2011,6,6.7,3.5
2034,,,
2061,7.4,6.4,6.9
2062,,,
2063,6.2,5.7,7.2
2064,1.2,1.4,3
2067,,,
2068,7.4,6.4,6.9
2069,7.4,6.4,6.9
2077,,,
2078,6,6.7,3.5
2079,8.7,5.9,8.6
2080,,,
2083,1.2,1.4,3
2085,6,6.7,3.5
2103,,,
2136,7.4,6.4,6.9
2141,,,
2142,3.3,3.5,3.5
2143,1.2,1.4,3
2147,1.2,1.4,3
2148,,,
2162,,,
2249,2.5,2.5,1.8
2250,7.4,6.4,6.9
2251,3.3,3.5,3.5
2252,7.4,6.7849,8.5048
2253,8.7,5.9,8.6
2260,1.2,1.4,3
2264,,,
2265,6.2,5.7,7.2
2269,3.3,3.5,3.5
2271,1.2,1.4,3
2272,1.2,1.4,3
2273,7.4,6.4,6.9
2276,1.2,1.4,3
2277,,,
2279,3.3,3.5,3.5
2280,3.3,3.5,3.5
2284,7.4,6.4,6.9
2289,,,
2296,,,
2297,,,
2358,7.4,6.4,6.9
2387,8.7,5.9,8.6
2399,7.4,6.4,6.9
2400,1.2,1.4,3
2404,8.7,5.9,8.6
2427,3.3,3.5,3.5
2479,3.3,3.5,3.5
2500,7.4,6.4,6.9
2501,6,6.7,3.5
2503,8.7,5.9,8.6
2504,8.7,5.9,8.6
2508,3.3,3.5,3.5
2514,7.4,6.4,6.9
2517,6,6.7,3.5
2518,7.4,6.4,6.9
2562,,,
2565,7.4,6.4,6.9
2566,5.3,4.9,6.5
2577,,,
2581,8.7,5.9,8.6
2583,6.2,5.7,7.2
2584,1.2,1.4,3
2585,7.4,6.4,6.9
2586,7.4,6.4,6.9
2587,6,6.7,3.5
2589,7.4,6.4,6.9
2590,1.2,1.4,3
2592,6,6.7,3.5
2593,6.2,5.7,7.2
2594,3.3,3.5,3.5
2617,3.3,3.5,3.5
2618,3.3,3.5,3.5
2643,6,6.7,3.5
2644,1.2,1.4,3
